accepted_replan_count,completion_step,completion_time_truncated,episode_index,event_counts,executor_arrival_step,formal_training_run,found_step,max_steps,maximum_switch_distance,mean_replan_interval,mean_switch_distance,method,obstacle_event_count,obstacle_route_impacted_count,optimizer_invocation_count,post_found_executor_delay_truncated,reject_reason_counts,rejected_replan_count,replan_count,runtime_seconds,same_agent_switch_within_10_steps,scenario_id,scenario_seed,status,steps_completed,success,target_found_time_truncated,target_route_source_counts,total_switch_distance,waypoint_switch_count
0,,400,0,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,377.93345370003954,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0
0,,400,1,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,496.86894160002703,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0
0,,400,2,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,477.5503600999946,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0
0,,400,3,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,376.1747843999765,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},0.0,0
0,,400,0,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,398.8182222000323,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0
0,,400,1,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,413.84613690001424,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0
0,,400,2,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,371.4750647000037,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0
0,,400,3,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,427.2596169000026,0,unknown_validation_m20_0002,2730,OK,400,False,400,{},0.0,0
0,356,356,0,{},,False,141,400,0.0,400.0,0.0,No-BSER-static,0,0,0,259,{},0,0,230.90449210000224,0,unknown_validation_m20_0003,2731,OK,356,True,141,{},0.0,0
0,356,356,1,{},,False,141,400,0.0,400.0,0.0,No-BSER-static,0,0,0,259,{},0,0,257.09518760000356,0,unknown_validation_m20_0003,2731,OK,356,True,141,{},0.0,0
0,335,335,2,{},,False,141,400,0.0,400.0,0.0,No-BSER-static,0,0,0,259,{},0,0,253.9946762000327,0,unknown_validation_m20_0003,2731,OK,335,True,141,{},0.0,0
0,290,290,3,{},,False,141,400,0.0,400.0,0.0,No-BSER-static,0,0,0,259,{},0,0,250.6788600999862,0,unknown_validation_m20_0003,2731,OK,290,True,141,{},0.0,0
0,,400,0,{},,False,135,400,0.0,400.0,0.0,No-BSER-static,0,0,0,265,{},0,0,201.49793650000356,0,unknown_validation_m20_0004,2732,OK,400,False,135,{},0.0,0
0,,400,1,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,451.0505611000117,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0
0,,400,2,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,447.8812654999783,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0
0,,400,3,{},,False,,400,0.0,400.0,0.0,No-BSER-static,0,0,0,400,{},0,0,424.41549600003054,0,unknown_validation_m20_0004,2732,OK,400,False,400,{},0.0,0
0,,400,0,{},,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,399,{},0,0,163.30356520001078,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0
0,,400,1,{},,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,399,{},0,0,170.39680170000065,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0
0,,400,2,{},,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,399,{},0,0,162.4674392999732,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0
0,,400,3,{},,False,1,400,0.0,400.0,0.0,No-BSER-static,0,0,0,399,{},0,0,170.68603719997918,0,unknown_validation_m20_0005,2733,OK,400,False,1,{},0.0,0
20,,400,0,{},,False,,400,16.97056274847714,20.0,5.91294341952933,Periodic-BSER,0,0,20,400,{},0,20,528.807557699969,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},230.60479336164386,39
20,,400,1,{},,False,,400,16.97056274847714,20.0,6.449595440491799,Periodic-BSER,0,0,20,400,{},0,20,482.2589105999796,0,unknown_validation_m20_0001,2729,OK,400,False,400,{},180.58867233377038,28
